iter	Passed	Remaining
413	3062	4334
414	3068	4326
415	3075	4317
416	3082	4309
417	3088	4300
418	3095	4292
419	3101	4282
420	3107	4274
421	3114	4265
422	3120	4255
423	3126	4247
424	3133	4238
425	3139	4230
426	3146	4221
427	3152	4212
428	3159	4205
429	3165	4196
430	3171	4187
431	3178	4178
432	3184	4170
433	3191	4162
434	3198	4154
435	3205	4145
436	3211	4137
437	3217	4128
438	3224	4120
439	3230	4110
440	3236	4102
441	3242	4093
442	3248	4084
443	3254	4075
444	3260	4066
445	3266	4057
446	3272	4049
447	3279	4040
448	3285	4031
449	3291	4022
450	3297	4014
451	3304	4005
452	3310	3997
453	3316	3988
454	3322	3980
455	3329	3971
456	3335	3963
457	3342	3955
458	3348	3946
459	3354	3938
460	3361	3930
461	3367	3921
462	3373	3913
463	3379	3904
464	3386	3896
465	3392	3887
466	3398	3879
467	3405	3871
468	3412	3863
469	3418	3855
470	3425	3847
471	3432	3839
472	3439	3831
473	3445	3823
474	3452	3816
475	3459	3807
476	3465	3799
477	3472	3791
478	3478	3783
479	3485	3775
480	3491	3767
481	3499	3761
482	3506	3752
483	3512	3744
484	3519	3736
485	3525	3728
486	3531	3720
487	3537	3711
488	3543	3703
489	3551	3696
490	3558	3688
491	3565	3681
492	3571	3672
493	3577	3664
494	3583	3656
495	3589	3647
496	3596	3639
497	3602	3631
498	3608	3623
499	3615	3615
500	3621	3607
501	3628	3599
502	3634	3591
503	3640	3583
504	3647	3575
505	3653	3566
506	3659	3558
507	3666	3550
508	3672	3542
509	3679	3534
510	3685	3527
511	3692	3519
512	3698	3511
513	3705	3503
514	3711	3495
515	3718	3487
516	3724	3479
517	3731	3471
518	3737	3463
519	3743	3455
520	3749	3447
521	3756	3439
522	3762	3431
523	3768	3423
524	3774	3415
525	3781	3407
526	3787	3399
527	3794	3391
528	3800	3383
529	3806	3375
530	3812	3367
531	3819	3360
532	3826	3352
533	3832	3344
534	3839	3336
535	3845	3329
536	3851	3321
537	3858	3313
538	3865	3305
539	3871	3297
540	3877	3289
541	3883	3281
542	3889	3273
543	3896	3265
544	3902	3257
545	3908	3250
546	3915	3242
547	3921	3234
548	3929	3227
